,female_effect_size,female_p_value
Constitution,0.854702787837134,0.05008714010528903
buyer,-0.4057506722066367,0.7826051018165351
Vehicle,0.337499443692481,0.2554623087750658
agenda,-0.5619158137947391,0.8611511610753875
equity,0.5982814430912557,0.12558721569987918
invite,0.5830985362055339,0.132365913362128
seller,0.9380201806630122,0.035481626763769314
employer,-0.5583559008306587,0.8555936158539208
upset,-0.5033838869213327,0.8335797053731075
amongst,-1.034945975202431,0.9769417361301901
Dining,0.8286580512918297,0.05436796111545861
Plastic,0.2692866575505107,0.30021165497508895
loop,-0.8577145419798792,0.9510358714382912
104,-0.648493837354923,0.8943325971038442
