,word,female_effect_size,p_value,pos
62092,Mykonos,1.0621150613963235,0.0160874579054309,"[""Mykonos""/INTJ]"
62098,Mew,0.9960788595309514,0.0237763124912681,"[""Mew""/INTJ]"
62099,MISSING,0.9398278220407708,0.0299179291262824,"[""MISSING""/VERB]"
62117,enzymatic,0.9109626403126732,0.0365581780434993,"[""enzymatic""/INTJ]"
62119,Cupboard,1.3514007538140511,0.0035234880255092,"[""Cupboard""/NOUN]"
62134,CLINIC,1.0452588526066016,0.0168870226904979,"[""CLINIC""/INTJ]"
62155,Jumeirah,1.405769394155454,0.0025578314902195,"[""Jumeirah""/PUNCT]"
62156,Banged,1.3303283270350863,0.0043114970170201,"[""Banged""/INTJ]"
62163,hazelnut,1.098643170185787,0.0139589499765415,"[""hazelnut""/NUM]"
62166,Ample,1.2203492238780589,0.0077838051487315,"[""Ample""/INTJ]"
62170,two-bedroom,0.8495396010092879,0.0421976266646906,"[""two-bedroom""/NUM]"
62182,vignette,1.0037851694654498,0.0214598636648237,"[""vignette""/X]"
62187,Subsidiary,1.0826160829816347,0.0156988704103141,"[""Subsidiary""/NOUN]"
62193,Yarns,1.140484147336053,0.011072648285593,"[""Yarns""/INTJ]"
62196,B2C,0.9766439340360576,0.0244263520781798,"[""B2C""/INTJ]"
62224,Desai,0.8957347704119535,0.0381750302325414,"[""Desai""/INTJ]"
62227,SGA,1.0288849130661577,0.0174079206979065,"[""SGA""/PROPN]"
62231,harddrive,0.930119255097701,0.0299574808016915,"[""harddrive""/INTJ]"
62232,Kundalini,0.9130614501933156,0.0326211474130623,"[""Kundalini""/INTJ]"
62246,manicures,1.4184637530905615,0.0023913429608118,"[""manicures""/NOUN]"
62248,carmen,1.393784377808247,0.0025859585106223,"[""carmen""/INTJ]"
62250,Flirt,1.047904742408302,0.0191284513153819,"[""Flirt""/INTJ]"
62257,Sofitel,1.1062384714987936,0.0133288873478847,"[""Sofitel""/PUNCT]"
62260,Biosciences,1.305085144131495,0.0043502051073361,"[""Biosciences""/NOUN]"
62292,Peridot,1.2125410829007257,0.0077715267862997,"[""Peridot""/INTJ]"
62297,Supremes,1.6584306047184083,0.0004927919903642,"[""Supremes""/NOUN]"
62298,Hairspray,1.3840756939356154,0.002856868195154,"[""Hairspray""/INTJ]"
62301,Kunis,1.8194794577964373,0.0001318793324625,"[""Kunis""/INTJ]"
62314,enchantment,0.9007564948319016,0.0352951719394598,"[""enchantment""/NOUN]"
62342,yahoo.com,1.015015370250007,0.0239215705367474,"[""yahoo.com""/X]"
62350,Lilies,1.3982819851446866,0.0023377325371063,"[""Lilies""/INTJ]"
62357,Curacao,0.89866552080357,0.0353440539130556,"[""Curacao""/INTJ]"
