,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"""min""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""night""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""once""/ADV]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""path""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""php""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""s""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""see""/VERB]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""service""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""services""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""summer""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""tea""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""time""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""value""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8911218177101414
"""video""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.9083893142309158
"[""###""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""'""/SYM]",1,1,1,1,1,1,-1.0643762931301892,-1.0643762931301892,-1.0643762931301892,-1.0643762931301892,-1.0643762931301892,-1.0643762931301892
"[""**********""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""--------------------""/SYM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-0.8735406026536641,-0.8735406026536641
"[""------------------------------""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""/>""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""0,0""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""0-0""/SYM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.4165322603948851,-1.4165322603948851,-1.4165322603948851
"[""0-1""/SYM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.4177349277634257,-1.4177349277634257
"[""0-2""/SYM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.1986734464938198,-1.1986734464938198
"[""0-4""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.023932041142621
"[""007""/SYM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.0323769021099434,-1.0323769021099434
"[""00:40""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""05:05""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""0sec""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""0voted""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""1-0""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,-1.30188757299119,-1.30188757299119,-1.30188757299119
"[""1-1""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.5392359087549952,-1.5392359087549952,-1.5392359087549952
"[""1-10""/SYM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.296105011318145,-1.296105011318145,-1.296105011318145
"[""1-11""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.327787409518174
"[""1-3""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-0.8311658577754227,-0.8311658577754227,-0.8311658577754227
"[""1-4""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-0.8802867235927038,-0.8802867235927038,-0.8802867235927038
"[""1-7""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.0489572239568714
"[""1-9""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.0277066053349548
"[""1.000""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.2424183358397194
"[""1.1""/SYM]",0,0,1,1,1,1,N/A,N/A,-0.899986154717912,-0.899986154717912,-0.899986154717912,-0.899986154717912
"[""1.4""/NUM]",0,0,1,1,1,1,N/A,N/A,-0.8349014825754477,-0.8349014825754477,-0.8349014825754477,-0.8349014825754477
"[""1.45""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.5911245933815086
"[""1.9""/SYM]",0,0,0,1,1,1,N/A,N/A,N/A,-0.8386933558233101,-0.8386933558233101,-0.8386933558233101
"[""10-0""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.2686159297960051
"[""10-1""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.2129052613377256
"[""10-2""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.274543872169994
"[""10-3""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.101488882576651
"[""10-4""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.274622499751891
"[""10.1016""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""101st""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.2200362000767977
"[""1024x768""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""103""/NUM]",0,0,1,1,1,1,N/A,N/A,-0.8467164699658247,-0.8467164699658247,-0.8467164699658247,-0.8467164699658247
"[""1066""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8452874438781516
"[""1070""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.958963636722154
"[""1080i""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""10:1""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3132795533852497
"[""10K""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""10km""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
