,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"[""Neutrogena""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.4036751132451943
"[""Neva""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.0785288161914397
"[""Neverwinter""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""New-York""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Newcastle""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Newly""/ADV]",0,0,0,1,1,1,N/A,N/A,N/A,1.0544996790117327,1.0544996790117327,1.0544996790117327
"[""Newlyweds""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.1735261806320092
"[""Newquay""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Newsletter""/NOUN]",0,1,1,1,1,1,N/A,0.8838378612991218,0.8838378612991218,0.8838378612991218,0.8838378612991218,0.8838378612991218
"[""Newsletters""/NOUN]",0,0,0,1,1,1,N/A,N/A,N/A,0.896753299048231,0.896753299048231,0.896753299048231
"[""NewslettersRSS""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.0322432694673584
"[""Newsroom""/NOUN]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.165455808465442,1.165455808465442
"[""Newton""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nexus""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nia""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.6261059912913898
"[""Nichole""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.4354628868589774
"[""Nick""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nicki""/INTJ]",0,0,0,1,1,1,N/A,N/A,N/A,1.5727755769395089,1.5727755769395089,1.5727755769395089
"[""Nicklas""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nicklaus""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nicola""/PROPN]",0,0,0,1,1,1,N/A,N/A,N/A,1.0125209268702298,1.0125209268702298,1.0125209268702298
"[""Nicolas""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nicole""/PROPN]",0,1,1,1,1,1,N/A,1.5145005155139402,1.5145005155139402,1.5145005155139402,1.5145005155139402,1.5145005155139402
"[""Niels""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nietzsche""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nigel""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nigella""/PUNCT]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.687863185287528
"[""Nigerians""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Nigga""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
