,female_effect_size,female_p_value
vandalism,-0.31306797930829844,0.7337763082992987
vane,0.46936857004479393,0.17230785161980156
vanguard,-0.6480565080395211,0.9020806318193568
vanilla,0.46503258743589615,0.1757180662880361
vanish,-0.2271678680931566,0.6808808238082784
vanished,-0.08167843446772885,0.5685567283452337
vanishing,-0.3693756783582971,0.7760299128902375
vanity,0.4098944763018501,0.20360126347886043
vanquish,-0.7364681761818023,0.9324027214761534
vanquished,-1.0458907874336227,0.9821938822929306
vanquishing,-0.8501544480086588,0.9552172843983474
vantage,-0.548518860025218,0.8577554975189972
vapor,-1.2683393180563438,0.9947620131842395
vara,-0.11479757202657018,0.5904301360503418
variable,0.5338398322777028,0.1454035355355736
variance,-1.2274697206639167,0.993336870317975
variation,0.3550214214673282,0.2395256518354898
variations,0.284742422009492,0.2842337279783482
varicella,0.8794400157223314,0.039221719355334694
varicose,0.9060271927808161,0.03524453150501894
varied,0.5382731029181175,0.1414762570568182
variegated,0.3516176417193583,0.24694434970445012
variety,0.5776738522723711,0.1271905932017532
various,-0.09236392934505569,0.5727223780201263
varmint,-1.0602638418342722,0.9828760209319275
varnish,-0.331779947574769,0.7427062451888037
varsity,-0.048561031885306125,0.5347010116873322
vary,0.9627180142213484,0.025453164006569717
varying,0.35835675974310405,0.23466194029440568
vascular,-0.0799384529591206,0.5629800814822107
vase,1.0007846414771582,0.023556228465761997
vasectomy,-0.9477318880948105,0.9702221987401588
vassal,-0.7463062433801829,0.9319973478755714
vast,-0.5685652627851338,0.871061797994653
vat,-0.8395477053719544,0.9517490679905809
vaudeville,-0.6490291619411152,0.8987584501834047
vault,0.7596552237975288,0.06209138997891206
vaulted,-0.2526290309655161,0.691005527470753
vaulting,0.01820673593430887,0.49084994902097867
veal,-0.23845881615497774,0.6815169696912222
vector,-0.4226024870139163,0.8047064999612685
veer,-0.2502476424455912,0.6893503388633955
vega,0.4313878955664911,0.19242190007342552
vegan,1.332418951746965,0.003408711124544439
vegetable,0.21503140892739803,0.33529724054627474
vegetarian,0.6043445355260024,0.10980356172691552
vegetarianism,0.0894627666854431,0.4308253330001909
vegetation,-0.24015528009235296,0.6848894472089326
vegetative,0.12479069594473735,0.40270410735897655
veggie,0.6506736760093413,0.09752145129854717
vehement,-0.1427744591679694,0.6064822318842269
vehicle,-0.2197915699371732,0.6664833740031767
veil,1.493973817703593,0.001444924896490174
veiled,0.812175604188005,0.05120650501105095
vein,-0.19183344242478723,0.6541697108084455
veined,-0.12841133400303192,0.5932205717054981
vellum,0.38280842993464226,0.22243756366509537
velocity,-1.563109176050433,0.9991776886073784
velour,0.5968454047474836,0.11863347463813123
velvet,0.17888302899847405,0.3575676588431891
velvety,0.33635465193768965,0.25468520502594205
vena,0.23175200855689598,0.31702557467597436
vendetta,-0.45426825580683344,0.8209284821881662
vending,0.6290176546346722,0.10399368004493958
vendor,0.894405107295644,0.03919874091700282
veneer,-0.28521202051577443,0.716389227075734
